exercise_name,category,duration,equipment_needed
Bodyweight Squats,Strength Recovery,3 sets of 10 reps,Foam Roller
Wall Sits,Strength Recovery,30 sec,Mat
IT Band Roll,Foam Rolling,1 min,Pool
Box Breathing,Breathing,1 min,None
Cold Plunge,Hydrotherapy,3 sets of 10 reps,Resistance Band
Shoulder Bridge,Pilates,3 sets of 10 reps,Mat
Quad Roll,Foam Rolling,2 min,Balance Board
Elliptical,Active Recovery,3 sets of 10 reps,Mat
Underwater Stretch,Hydrotherapy,5 min,None
Hot Tub Soak,Hydrotherapy,3 sets of 10 reps,Pool
Quad Stretch,Stretching,2 min,Resistance Band
Box Breathing,Breathing,3 sets of 10 reps,Foam Roller
Quad Roll,Foam Rolling,1 min,Foam Roller
4-7-8 Breathing,Breathing,30 sec,Balance Board
Rolling Like a Ball,Pilates,1 min,Balance Board
Neck Rolls,Mobility,1 min,Foam Roller
Elliptical,Active Recovery,5 min,Resistance Band
Alternate Nostril Breathing,Breathing,30 sec,Pool
Alternate Nostril Breathing,Breathing,3 sets of 10 reps,None
Neck Rolls,Mobility,1 min,Pool
Elliptical,Active Recovery,1 min,Mat
Glute Bridges,Strength Recovery,2 min,Pool
Spine Stretch,Pilates,30 sec,None
Brisk Walk,Active Recovery,2 min,None
Pursed Lip Breathing,Breathing,3 sets of 10 reps,Pool
Spine Stretch,Pilates,2 min,Foam Roller
Hip Openers,Mobility,1 min,Balance Board
Isometric Holds,Strength Recovery,5 min,Mat
Cobra Pose,Yoga,30 sec,Balance Board
Ankle Circles,Mobility,30 sec,Balance Board
Pigeon Pose,Yoga,3 sets of 10 reps,Pool
Pursed Lip Breathing,Breathing,1 min,Foam Roller
Pursed Lip Breathing,Breathing,5 min,Foam Roller
Calf Stretch,Stretching,5 min,None
Leg Swings,Mobility,3 sets of 10 reps,None
Easy Cycling,Active Recovery,1 min,Foam Roller
Spine Stretch,Pilates,2 min,Pool
Arm Swings,Mobility,30 sec,Resistance Band
Quad Roll,Foam Rolling,30 sec,None
Spine Stretch,Pilates,3 sets of 10 reps,Resistance Band
Quad Stretch,Stretching,1 min,Resistance Band
Calf Stretch,Stretching,5 min,Resistance Band
Pursed Lip Breathing,Breathing,2 min,Foam Roller
Hip Openers,Mobility,2 min,Foam Roller
Water Jogging,Hydrotherapy,2 min,Balance Board
Isometric Holds,Strength Recovery,1 min,Balance Board
Cobra Pose,Yoga,1 min,Mat
Hot Tub Soak,Hydrotherapy,2 min,None
Single Leg Stand,Balance,1 min,Resistance Band
Ankle Circles,Mobility,2 min,Mat
Arm Swings,Mobility,5 min,Pool
Downward Dog,Yoga,5 min,Mat
Back Roll,Foam Rolling,2 min,Balance Board
Underwater Stretch,Hydrotherapy,3 sets of 10 reps,Pool
Swimming,Active Recovery,5 min,Pool
Back Roll,Foam Rolling,3 sets of 10 reps,Pool
Downward Dog,Yoga,3 sets of 10 reps,Resistance Band
Hundred,Pilates,30 sec,Pool
Box Breathing,Breathing,5 min,Foam Roller
Balance Board,Balance,30 sec,None
Back Roll,Foam Rolling,3 sets of 10 reps,None
Quad Roll,Foam Rolling,30 sec,None
Elliptical,Active Recovery,30 sec,Resistance Band
Elliptical,Active Recovery,1 min,Pool
Isometric Holds,Strength Recovery,30 sec,Balance Board
Shoulder Stretch,Stretching,3 sets of 10 reps,None
Lat Roll,Foam Rolling,1 min,Balance Board
Rolling Like a Ball,Pilates,1 min,Foam Roller
Bodyweight Squats,Strength Recovery,1 min,Mat
Quad Roll,Foam Rolling,5 min,Foam Roller
Diaphragmatic Breathing,Breathing,30 sec,Balance Board
Shoulder Stretch,Stretching,3 sets of 10 reps,Pool
Hamstring Stretch,Stretching,5 min,Balance Board
Box Breathing,Breathing,5 min,Pool
Water Jogging,Hydrotherapy,30 sec,Pool
Brisk Walk,Active Recovery,1 min,Resistance Band
Spine Stretch,Pilates,30 sec,Resistance Band
Lat Roll,Foam Rolling,2 min,Mat
Easy Cycling,Active Recovery,30 sec,Resistance Band
Cold Plunge,Hydrotherapy,5 min,Pool
Elliptical,Active Recovery,30 sec,Mat
Brisk Walk,Active Recovery,2 min,None
Shoulder Bridge,Pilates,2 min,None
Isometric Holds,Strength Recovery,30 sec,Balance Board
BOSU Ball Squat,Balance,1 min,Resistance Band
Box Breathing,Breathing,3 sets of 10 reps,Mat
Child's Pose,Yoga,5 min,Pool
Easy Cycling,Active Recovery,1 min,Balance Board
Contrast Bath,Hydrotherapy,1 min,None
Lat Roll,Foam Rolling,2 min,None
Hundred,Pilates,1 min,Resistance Band
BOSU Ball Squat,Balance,3 sets of 10 reps,Mat
Lat Roll,Foam Rolling,3 sets of 10 reps,None
Lat Roll,Foam Rolling,3 sets of 10 reps,Pool
Glute Bridges,Strength Recovery,2 min,Balance Board
Cold Plunge,Hydrotherapy,2 min,Balance Board
Box Breathing,Breathing,3 sets of 10 reps,Pool
Underwater Stretch,Hydrotherapy,30 sec,Foam Roller
Bodyweight Squats,Strength Recovery,30 sec,Mat
Rolling Like a Ball,Pilates,5 min,Resistance Band
Diaphragmatic Breathing,Breathing,1 min,Mat
Cat-Cow,Yoga,30 sec,Foam Roller
Pigeon Pose,Yoga,2 min,Foam Roller
Tai Chi Step,Balance,30 sec,Pool
Underwater Stretch,Hydrotherapy,1 min,None
Shoulder Bridge,Pilates,1 min,Mat
Hundred,Pilates,5 min,None
Calf Raises,Strength Recovery,2 min,Pool
Neck Rolls,Mobility,3 sets of 10 reps,Mat
Shoulder Stretch,Stretching,3 sets of 10 reps,Resistance Band
Downward Dog,Yoga,3 sets of 10 reps,Foam Roller
Rolling Like a Ball,Pilates,3 sets of 10 reps,Foam Roller
Spine Stretch,Pilates,2 min,Balance Board
Hip Openers,Mobility,3 sets of 10 reps,Balance Board
Shoulder Stretch,Stretching,5 min,Foam Roller
Box Breathing,Breathing,5 min,Resistance Band
Easy Cycling,Active Recovery,5 min,Balance Board
Ankle Circles,Mobility,3 sets of 10 reps,Foam Roller
Swimming,Active Recovery,30 sec,Balance Board
Contrast Bath,Hydrotherapy,1 min,None
Quad Stretch,Stretching,30 sec,Pool
Cobra Pose,Yoga,3 sets of 10 reps,Balance Board
Cat-Cow,Yoga,1 min,Resistance Band
Hamstring Stretch,Stretching,3 sets of 10 reps,Foam Roller
Leg Swings,Mobility,1 min,Foam Roller
Heel to Toe Walk,Balance,3 sets of 10 reps,Pool
Balance Board,Balance,1 min,Mat
Quad Stretch,Stretching,3 sets of 10 reps,Mat
Spine Stretch,Pilates,5 min,Resistance Band
Calf Roll,Foam Rolling,30 sec,Balance Board
Water Jogging,Hydrotherapy,2 min,Resistance Band
Single Leg Stand,Balance,30 sec,Foam Roller
Tai Chi Step,Balance,3 sets of 10 reps,Foam Roller
Alternate Nostril Breathing,Breathing,5 min,Pool
Elliptical,Active Recovery,30 sec,Mat
Cobra Pose,Yoga,3 sets of 10 reps,Pool
Alternate Nostril Breathing,Breathing,1 min,None
Back Roll,Foam Rolling,3 sets of 10 reps,Pool
Swimming,Active Recovery,2 min,Pool
Shoulder Bridge,Pilates,30 sec,Balance Board
Shoulder Bridge,Pilates,2 min,Pool
Hamstring Stretch,Stretching,3 sets of 10 reps,None
Balance Board,Balance,5 min,Foam Roller
Lat Roll,Foam Rolling,30 sec,Foam Roller
Calf Stretch,Stretching,1 min,Pool
Back Roll,Foam Rolling,2 min,Resistance Band
Easy Cycling,Active Recovery,5 min,Foam Roller
Isometric Holds,Strength Recovery,3 sets of 10 reps,Foam Roller
Neck Rolls,Mobility,30 sec,Balance Board
Water Jogging,Hydrotherapy,2 min,Foam Roller
Spine Stretch,Pilates,3 sets of 10 reps,Pool
Isometric Holds,Strength Recovery,2 min,Balance Board
Lat Roll,Foam Rolling,30 sec,Mat
Quad Stretch,Stretching,3 sets of 10 reps,Foam Roller
Contrast Bath,Hydrotherapy,3 sets of 10 reps,Foam Roller
BOSU Ball Squat,Balance,5 min,Mat
Easy Cycling,Active Recovery,30 sec,Foam Roller
Calf Stretch,Stretching,30 sec,Balance Board
Heel to Toe Walk,Balance,30 sec,Foam Roller
Quad Stretch,Stretching,30 sec,Pool
Hot Tub Soak,Hydrotherapy,2 min,Foam Roller
Glute Bridges,Strength Recovery,2 min,Balance Board
Contrast Bath,Hydrotherapy,2 min,Pool
Underwater Stretch,Hydrotherapy,2 min,Foam Roller
Pursed Lip Breathing,Breathing,30 sec,Balance Board
Ankle Circles,Mobility,1 min,Mat
Hundred,Pilates,5 min,Mat
Shoulder Stretch,Stretching,1 min,Foam Roller
Balance Board,Balance,5 min,Foam Roller
Elliptical,Active Recovery,1 min,None
Spine Stretch,Pilates,1 min,Mat
Glute Bridges,Strength Recovery,5 min,Resistance Band
Pigeon Pose,Yoga,5 min,Resistance Band
Diaphragmatic Breathing,Breathing,5 min,Pool
Rolling Like a Ball,Pilates,1 min,Pool
Heel to Toe Walk,Balance,5 min,Mat
Cat-Cow,Yoga,3 sets of 10 reps,Mat
Pigeon Pose,Yoga,3 sets of 10 reps,Balance Board
Arm Swings,Mobility,2 min,Pool
Rolling Like a Ball,Pilates,2 min,Foam Roller
Rolling Like a Ball,Pilates,3 sets of 10 reps,Resistance Band
Contrast Bath,Hydrotherapy,3 sets of 10 reps,Balance Board
Quad Roll,Foam Rolling,2 min,Pool
Glute Bridges,Strength Recovery,3 sets of 10 reps,Foam Roller
Shoulder Stretch,Stretching,1 min,Foam Roller
Isometric Holds,Strength Recovery,1 min,Resistance Band
Box Breathing,Breathing,5 min,Balance Board
IT Band Roll,Foam Rolling,3 sets of 10 reps,None
Pursed Lip Breathing,Breathing,1 min,Mat
Quad Roll,Foam Rolling,3 sets of 10 reps,Foam Roller
Underwater Stretch,Hydrotherapy,30 sec,Mat
Elliptical,Active Recovery,1 min,Mat
Balance Board,Balance,5 min,Mat
Light Jog,Active Recovery,1 min,Balance Board
BOSU Ball Squat,Balance,5 min,Pool
Quad Roll,Foam Rolling,3 sets of 10 reps,Foam Roller
Single Leg Stand,Balance,3 sets of 10 reps,Mat
IT Band Roll,Foam Rolling,3 sets of 10 reps,Foam Roller
Child's Pose,Yoga,3 sets of 10 reps,Resistance Band
Quad Roll,Foam Rolling,3 sets of 10 reps,Pool
Leg Circles,Pilates,2 min,Resistance Band
Leg Swings,Mobility,1 min,Foam Roller
Lower Back Stretch,Stretching,5 min,Mat
Calf Stretch,Stretching,3 sets of 10 reps,Pool
BOSU Ball Squat,Balance,3 sets of 10 reps,Pool
Heel to Toe Walk,Balance,1 min,Balance Board
Back Roll,Foam Rolling,2 min,Pool
Hip Openers,Mobility,1 min,None
Glute Bridges,Strength Recovery,1 min,Balance Board
Glute Bridges,Strength Recovery,5 min,Foam Roller
Glute Bridges,Strength Recovery,2 min,Resistance Band
Heel to Toe Walk,Balance,30 sec,Pool
Spine Stretch,Pilates,2 min,Mat
Downward Dog,Yoga,2 min,None
Swimming,Active Recovery,30 sec,Balance Board
Heel to Toe Walk,Balance,5 min,None
Shoulder Bridge,Pilates,5 min,Balance Board
Hip Openers,Mobility,5 min,Pool
Box Breathing,Breathing,5 min,Resistance Band
Hip Openers,Mobility,5 min,Foam Roller
Rolling Like a Ball,Pilates,5 min,Resistance Band
Contrast Bath,Hydrotherapy,5 min,Resistance Band
Arm Swings,Mobility,30 sec,Resistance Band
Child's Pose,Yoga,2 min,None
Shoulder Bridge,Pilates,3 sets of 10 reps,None
Calf Roll,Foam Rolling,3 sets of 10 reps,Resistance Band
Light Jog,Active Recovery,2 min,Mat
Spine Stretch,Pilates,30 sec,Resistance Band
Water Jogging,Hydrotherapy,1 min,Resistance Band
Easy Cycling,Active Recovery,30 sec,Pool
IT Band Roll,Foam Rolling,1 min,Resistance Band
Water Jogging,Hydrotherapy,30 sec,Balance Board
Leg Swings,Mobility,5 min,Pool
Rolling Like a Ball,Pilates,5 min,Foam Roller
Pigeon Pose,Yoga,1 min,Resistance Band
Wall Sits,Strength Recovery,5 min,Balance Board
Tai Chi Step,Balance,5 min,Resistance Band
Elliptical,Active Recovery,30 sec,Resistance Band
Lat Roll,Foam Rolling,5 min,Mat
BOSU Ball Squat,Balance,2 min,Pool
Calf Raises,Strength Recovery,5 min,Foam Roller
Balance Board,Balance,30 sec,Foam Roller
Light Jog,Active Recovery,30 sec,None
Calf Roll,Foam Rolling,3 sets of 10 reps,Mat
Underwater Stretch,Hydrotherapy,30 sec,Balance Board
Water Jogging,Hydrotherapy,5 min,Pool
Quad Roll,Foam Rolling,30 sec,None
Neck Rolls,Mobility,1 min,Mat
Leg Circles,Pilates,5 min,Foam Roller
Cat-Cow,Yoga,3 sets of 10 reps,Foam Roller
Leg Circles,Pilates,2 min,Resistance Band
BOSU Ball Squat,Balance,30 sec,Balance Board
Cold Plunge,Hydrotherapy,2 min,Balance Board
Single Leg Stand,Balance,5 min,Balance Board
Lat Roll,Foam Rolling,3 sets of 10 reps,None
Hundred,Pilates,1 min,Mat
Hundred,Pilates,3 sets of 10 reps,Foam Roller
Hip Openers,Mobility,3 sets of 10 reps,Pool
Heel to Toe Walk,Balance,3 sets of 10 reps,None
Hot Tub Soak,Hydrotherapy,30 sec,Pool
Glute Bridges,Strength Recovery,3 sets of 10 reps,Mat
Glute Bridges,Strength Recovery,1 min,Mat
Underwater Stretch,Hydrotherapy,30 sec,Foam Roller
Isometric Holds,Strength Recovery,5 min,Mat
Hamstring Stretch,Stretching,30 sec,Pool
Diaphragmatic Breathing,Breathing,3 sets of 10 reps,None
IT Band Roll,Foam Rolling,3 sets of 10 reps,None
Brisk Walk,Active Recovery,5 min,Balance Board
Cold Plunge,Hydrotherapy,5 min,Pool
Underwater Stretch,Hydrotherapy,30 sec,Mat
Calf Raises,Strength Recovery,3 sets of 10 reps,Resistance Band
Hip Openers,Mobility,2 min,Pool
Balance Board,Balance,2 min,Resistance Band
Cobra Pose,Yoga,1 min,Balance Board
Arm Swings,Mobility,30 sec,Balance Board
Glute Bridges,Strength Recovery,2 min,Pool
Alternate Nostril Breathing,Breathing,5 min,Pool
Balance Board,Balance,1 min,Pool
Contrast Bath,Hydrotherapy,2 min,None
Calf Roll,Foam Rolling,2 min,Balance Board
Lower Back Stretch,Stretching,1 min,None
Hamstring Stretch,Stretching,3 sets of 10 reps,Foam Roller
Cold Plunge,Hydrotherapy,5 min,None
Neck Rolls,Mobility,5 min,Balance Board
Calf Stretch,Stretching,30 sec,None
Ankle Circles,Mobility,5 min,Balance Board
Wall Sits,Strength Recovery,3 sets of 10 reps,Foam Roller
Elliptical,Active Recovery,2 min,Resistance Band
4-7-8 Breathing,Breathing,30 sec,Mat
Easy Cycling,Active Recovery,5 min,Foam Roller
Calf Roll,Foam Rolling,30 sec,Pool
Underwater Stretch,Hydrotherapy,2 min,Balance Board
Underwater Stretch,Hydrotherapy,30 sec,None
Contrast Bath,Hydrotherapy,1 min,None
Glute Bridges,Strength Recovery,2 min,Resistance Band
Light Jog,Active Recovery,3 sets of 10 reps,Pool
Underwater Stretch,Hydrotherapy,5 min,Mat
Arm Swings,Mobility,5 min,Foam Roller
Underwater Stretch,Hydrotherapy,1 min,None
Tai Chi Step,Balance,1 min,Resistance Band
Cobra Pose,Yoga,1 min,None
Cold Plunge,Hydrotherapy,30 sec,Pool
Back Roll,Foam Rolling,3 sets of 10 reps,Resistance Band
Heel to Toe Walk,Balance,5 min,Pool
Leg Circles,Pilates,1 min,Balance Board
Cold Plunge,Hydrotherapy,2 min,Balance Board
Calf Roll,Foam Rolling,30 sec,Foam Roller
Quad Roll,Foam Rolling,30 sec,None
Isometric Holds,Strength Recovery,30 sec,None
Hot Tub Soak,Hydrotherapy,30 sec,Mat
Quad Stretch,Stretching,1 min,Pool
Cold Plunge,Hydrotherapy,1 min,Resistance Band
Isometric Holds,Strength Recovery,30 sec,Mat
Lower Back Stretch,Stretching,3 sets of 10 reps,Foam Roller
Pigeon Pose,Yoga,2 min,Resistance Band
Spine Stretch,Pilates,30 sec,Mat
Pigeon Pose,Yoga,1 min,Foam Roller
Bodyweight Squats,Strength Recovery,5 min,Foam Roller
IT Band Roll,Foam Rolling,30 sec,Mat
Elliptical,Active Recovery,1 min,Balance Board
Shoulder Bridge,Pilates,5 min,None
Brisk Walk,Active Recovery,5 min,Pool
Contrast Bath,Hydrotherapy,30 sec,Foam Roller
Cat-Cow,Yoga,30 sec,Foam Roller
Easy Cycling,Active Recovery,1 min,Balance Board
Downward Dog,Yoga,2 min,Balance Board
Pursed Lip Breathing,Breathing,1 min,None
Lower Back Stretch,Stretching,30 sec,Foam Roller
Pigeon Pose,Yoga,2 min,Balance Board
Quad Stretch,Stretching,1 min,Mat
Box Breathing,Breathing,5 min,Pool
Diaphragmatic Breathing,Breathing,1 min,Mat
Diaphragmatic Breathing,Breathing,5 min,Mat
Single Leg Stand,Balance,1 min,Foam Roller
Swimming,Active Recovery,1 min,Mat
Isometric Holds,Strength Recovery,1 min,Balance Board
Glute Bridges,Strength Recovery,1 min,Balance Board
Alternate Nostril Breathing,Breathing,1 min,None
Pursed Lip Breathing,Breathing,1 min,Resistance Band
Shoulder Stretch,Stretching,1 min,Mat
Hundred,Pilates,2 min,Foam Roller
BOSU Ball Squat,Balance,30 sec,Resistance Band
Leg Circles,Pilates,30 sec,Resistance Band
Cold Plunge,Hydrotherapy,1 min,Resistance Band
BOSU Ball Squat,Balance,5 min,Mat
Isometric Holds,Strength Recovery,2 min,None
Calf Roll,Foam Rolling,3 sets of 10 reps,Pool
Leg Swings,Mobility,2 min,Pool
Hundred,Pilates,5 min,Mat
Underwater Stretch,Hydrotherapy,2 min,Pool
Tai Chi Step,Balance,1 min,Resistance Band
Neck Rolls,Mobility,30 sec,None
Pursed Lip Breathing,Breathing,3 sets of 10 reps,Resistance Band
Lower Back Stretch,Stretching,2 min,Balance Board
Isometric Holds,Strength Recovery,5 min,Mat
Box Breathing,Breathing,5 min,Resistance Band
IT Band Roll,Foam Rolling,3 sets of 10 reps,Resistance Band
Cat-Cow,Yoga,2 min,Pool
Swimming,Active Recovery,2 min,Foam Roller
Rolling Like a Ball,Pilates,5 min,Resistance Band
Hamstring Stretch,Stretching,2 min,Resistance Band
Quad Stretch,Stretching,1 min,None
Diaphragmatic Breathing,Breathing,5 min,Foam Roller
Spine Stretch,Pilates,5 min,Balance Board
Hundred,Pilates,3 sets of 10 reps,None
Neck Rolls,Mobility,1 min,Mat
Shoulder Bridge,Pilates,1 min,Mat
Isometric Holds,Strength Recovery,1 min,Pool
Tai Chi Step,Balance,1 min,Mat
Lat Roll,Foam Rolling,1 min,Pool
Hundred,Pilates,3 sets of 10 reps,None
Child's Pose,Yoga,30 sec,Resistance Band
Shoulder Bridge,Pilates,5 min,Resistance Band
Elliptical,Active Recovery,3 sets of 10 reps,Mat
Glute Bridges,Strength Recovery,5 min,Balance Board
Glute Bridges,Strength Recovery,2 min,None
Heel to Toe Walk,Balance,5 min,Mat
Calf Roll,Foam Rolling,30 sec,None
Downward Dog,Yoga,3 sets of 10 reps,Mat
Child's Pose,Yoga,1 min,Pool
Wall Sits,Strength Recovery,1 min,Balance Board
Single Leg Stand,Balance,30 sec,Resistance Band
IT Band Roll,Foam Rolling,1 min,Resistance Band
BOSU Ball Squat,Balance,5 min,Resistance Band
Leg Swings,Mobility,3 sets of 10 reps,Balance Board
Hundred,Pilates,2 min,None
Contrast Bath,Hydrotherapy,5 min,Foam Roller
BOSU Ball Squat,Balance,1 min,Mat
Contrast Bath,Hydrotherapy,5 min,Balance Board
Lower Back Stretch,Stretching,2 min,Foam Roller
Tai Chi Step,Balance,3 sets of 10 reps,Resistance Band
Bodyweight Squats,Strength Recovery,1 min,Foam Roller
Glute Bridges,Strength Recovery,5 min,Pool
Single Leg Stand,Balance,2 min,Balance Board
Underwater Stretch,Hydrotherapy,1 min,None
Single Leg Stand,Balance,3 sets of 10 reps,Foam Roller
Isometric Holds,Strength Recovery,2 min,Balance Board
Shoulder Bridge,Pilates,30 sec,Balance Board
BOSU Ball Squat,Balance,30 sec,None
Calf Roll,Foam Rolling,2 min,Mat
